Dish Name,Category,Celery,Crustaceans,Molluscs,Fish,Tree Nuts,Peanuts,Sesame,Milk,Soya,Eggs,Lupin,Mustard,Cereals,Sulphur Dioxide
??? Soya Chicken,Roast,1,0,0,0,0,0,1,0,1,0,0,0,1,1
Soft Boiled Chicken,Roast,1,0,0,0,0,0,1,0,0,0,0,0,0,0
????? AROMATIC CRISPY DUCK,Sides,0,0,0,0,0,0,1,0,1,0,0,0,1,0
?? Vegetarian Spring Rolls,Sides,0,0,0,0,0,0,1,0,0,0,0,0,1,0
????? Crispy Sesame,Sides,0,0,0,0,0,0,1,0,0,0,0,0,1,0
T# Crispy Seaweed,Sides,0,0,0,1,0,0,1,0,0,0,0,0,0,0
???? Deep Fried Crispy Wonton (Prawns and Pork),Sides,0,1,0,0,0,0,1,0,0,0,0,0,1,0
???? Spare Ribs in Peking Sauce,Sides,1,0,0,0,0,0,1,0,0,0,0,0,1,0
???? Pan-Fried Japanese,Sides,0,0,1,0,0,0,1,0,1,0,0,0,1,1
Chicken Dumplings,Sides,0,0,0,0,0,0,1,0,0,0,0,0,0,0
???? Curry Fish Balls,Sides,0,0,0,1,0,0,1,1,0,1,0,0,1,0
# Satay Chicken Skewers,Sides,0,0,0,0,0,1,1,1,0,1,0,0,0,0
